name;status;county;pop_2001;pop_2011;pop_2021;pop_2024
Aberford;Built-up Area;West Yorkshire;1376;1503;1551;1507
Ackworth Moor Top;Built-up Area;West Yorkshire;4784;5281;6286;6518
Addingham;Built-up Area;West Yorkshire;3215;3172;3249;3205
Adwick le Street;Built-up Area;South Yorkshire;18300;18830;18331;19200
Airmyn;Built-up Area;East Riding of Yorkshire;795;768;729;718
Aiskew;Built-up Area;North Yorkshire;1318;1445;1757;2002
Aldbrough;Built-up Area;East Riding of Yorkshire;1336;1269;1279;1276
Allerton Bywater;Built-up Area;West Yorkshire;5001;5761;6959;7101
Alne;Built-up Area;North Yorkshire;528;569;594;588
Ampleforth;Built-up Area;North Yorkshire;1314;1345;1239;1231
Appleton Roebuck;Built-up Area;North Yorkshire;748;792;871;929
Arksey;Built-up Area;South Yorkshire;1616;1673;1579;1564
Armthorpe;Built-up Area;South Yorkshire;12628;14457;14163;14496
Askern;Built-up Area;South Yorkshire;5035;5159;5431;5807
Auckley;Built-up Area;South Yorkshire;1570;1434;1336;1337
Austerfield;Built-up Area;South Yorkshire;571;536;551;513
Austwick;Built-up Area;North Yorkshire;476;463;519;525
Badsworth;Built-up Area;West Yorkshire;583;682;697;722
Bagby;Built-up Area;North Yorkshire;522;593;565;580
Baildon;Built-up Area;West Yorkshire;16363;16726;17041;17108
Bardsey;Built-up Area;West Yorkshire;1806;1730;1819;1820
Barkisland;Built-up Area;West Yorkshire;981;1004;989;981
Barlby;Built-up Area;North Yorkshire;2702;2884;3496;3603
Barlow;Built-up Area;North Yorkshire;280;439;455;511
Barmby Moor;Built-up Area;East Riding of Yorkshire;868;903;930;939
Barnburgh (/ Harlington);Built-up Area;South Yorkshire;1979;1924;1850;1877
Barnetby le Wold;Built-up Area;North Lincolnshire;1593;1741;1842;1835
Barnsley;Built-up Area;South Yorkshire;63430;66945;71422;73872
Barrow upon Humber;Built-up Area;North Lincolnshire;2554;2820;2845;2836
Barton;Built-up Area;North Yorkshire;884;837;775;752
Barton-upon-Humber;Built-up Area;North Lincolnshire;9486;11066;11919;12052
Barugh Green (/ Redbrook);Built-up Area;South Yorkshire;6669;7014;7545;7777
Barwick-in-Elmet;Built-up Area;West Yorkshire;2280;2229;2178;2256
Batley;Built-up Area;West Yorkshire;41880;43460;44505;45814
Bawtry;Built-up Area;South Yorkshire;3204;3573;3410;3393
Bedale;Built-up Area;North Yorkshire;3120;3156;3285;3391
Beeford;Built-up Area;East Riding of Yorkshire;955;1078;1092;1148
Belton;Built-up Area;North Lincolnshire;2115;2167;2303;2391
Bempton;Built-up Area;East Riding of Yorkshire;1050;1040;1026;1004
Bentley;Built-up Area;South Yorkshire;11535;11875;12048;12556
Beverley;Built-up Area;East Riding of Yorkshire;29211;30835;30927;32955
Bilton;Built-up Area;East Riding of Yorkshire;4187;3841;3659;3783
Bingley;Built-up Area;West Yorkshire;18774;21149;21325;21676
Birdwell;Built-up Area;South Yorkshire;2989;3423;3360;3405
Bishop Burton (/ Cherry Burton);Built-up Area;East Riding of Yorkshire;2101;2088;2012;1842
Bishop Monkton;Built-up Area;North Yorkshire;525;531;605;604
